Destination,State,Terrain,Remoteness_1to5,Area_Risk_Level,Num_People,Time_of_Visit,Mode_of_Travel,Age,Gender,Purpose,Inside_Restricted_Zone,Weather,Connectivity,Distance_to_Safe_Zone_km,Distance_to_High_Risk_Zone_km,Risk_Score,Safety_Score
Kamakhya Temple,Assam,Temple,1,Low,3,Day,Trekking,18-25,Female,Trekking,0,Clear,Good,0.72,1.55,0.308,Medium
Kaziranga National Park,Assam,Wildlife,4,High,4,Day,Cab,26-35,Female,Trekking,0,Clear,Poor,6.12,0.69,0.706,High
Kohima,Nagaland,City,1,Low,2,Day,Trekking,18-25,Male,Pilgrimage,0,Fog,Good,2.32,1.84,0.335,Medium
Nathula Pass,Sikkim,High Pass,5,High,1,Day,Trekking,36-45,Male,Sightseeing,1,Clear,Poor,6.63,0.24,1,Extreme
Imphal,Manipur,City,1,Low,3,Night,Cab,26-35,Female,Night Stay,0,Clear,Good,0.93,2.32,0.423,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Night,Bus,36-45,Male,Trekking,1,Rain,Poor,11.39,0.89,1,Extreme
Sandakphu,West Bengal,Trek Peak,4,High,3,Day,Bus,46+,Female,Trekking,1,Clear,Poor,9.09,1.36,0.938,Extreme
Shillong,Meghalaya,Hill City,2,Low,5,Day,Bus,46+,Male,Sightseeing,0,Clear,Good,1.99,1.46,0.133,Low
Gangtok,Sikkim,City,1,Low,5,Night,Bus,18-25,Male,Night Stay,0,Rain,Good,0.51,2.31,0.455,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,3,Night,Trekking,18-25,Female,Trekking,0,Clear,Moderate,4.12,0.2,0.743,High
Imphal,Manipur,City,1,Low,3,Day,Cab,36-45,Male,Sightseeing,0,Rain,Good,1.71,0.67,0.256,Medium
Shillong,Meghalaya,Hill City,2,Low,4,Night,Cab,46+,Male,Night Stay,0,Rain,Good,2.39,2.22,0.51,High
Imphal,Manipur,City,1,Low,3,Day,Cab,46+,Female,Sightseeing,0,Rain,Good,1.97,0.52,0.227,Low
Majuli Island,Assam,Island,3,Medium,4,Day,Bus,18-25,Female,Sightseeing,0,Clear,Moderate,4.89,2.23,0.376,Medium
Sandakphu,West Bengal,Trek Peak,4,High,2,Day,Cab,46+,Male,Sightseeing,0,Fog,Poor,10.1,1.04,0.765,Extreme
Aizawl,Mizoram,City,1,Low,3,Day,Bus,36-45,Male,Trekking,0,Fog,Good,1.2,1.12,0.255,Medium
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Bus,18-25,Male,Sightseeing,0,Clear,Good,1.03,1.5,0.095,Low
Aizawl,Mizoram,City,1,Low,4,Night,Cab,36-45,Female,Night Stay,0,Clear,Good,2.3,0.89,0.409,Medium
